hash,filename,object,score,decision
1a1674bbe55f70217f40dbb03419f89c56d4d0ed156782a8c030835d60f43d346b222ed8eee8e3cec2a84f8a48f422c80e60730a5217727009174d7d485dec45,setup.py,<module>,1.0,suspicious
ac72d557c43056292711f3c365af7d7d092588eb57865f56df52e3d5518f7b830b169a28c1b468f0cdfc2f4ed5a42bb338cab3929c933c0c95f8d0d94fcab869,setup.py,<module>,1.0,suspicious
e59825ccd22d5a2afc844169b448eb0df710165cb78408ffd2125eda9aab5be581f8fa82c73161ab169e8cf98f7dd897ce4ffa66e1ff456abe003f65fa97b917,setup.py,<module>,1.0,suspicious
a7c33a6b38ee1ca38faa2a1175d8386cb2c819d17733ff22c3c0a92a0cea70668618cca2861d001c2bf0de6dba73e27d93563402feeeb11b1bafc7feb42a1df5,setup.py,<module>,1.0,suspicious
8eac59158083b16c250daa96b002396d34daa814b6632bd9a96a8b2cd79c26145fdb61ece15f7d600d6ed300b6deecad90f39c0895a0b4cb685177d84b45cee1,setup.py,<module>,1.0,suspicious
c7506310edc755a9aa85eebc445e9a1081607ff2a5263e187c68132169f5507220fdac9a15b5b74f562b8c86d292c8cfa74c4512c0e4085494b6c594cfa9ccac,setup.py,<module>,1.0,suspicious
c851ad33c303abe1aee1233726d716d2e41fba7b428d670f3c4d8225986e6d06954efa5cc5b19fa690737eddb6c648e74b8c417f82a53ef009ecc4d62cff45a4,setup.py,<module>,1.0,suspicious
8e4db8d90ea58b048c4a14c3721d7538d48b600ecd25f19d7c23365c20026c7cfd375550d2fa75a7e59ecffb2cdcce0147135a4ffe6d988feeb7d9d9ecf2afdb,setup.py,<module>,1.0,suspicious
3989bc73f0022f97e5010175cf81da9c1da1fc8a71ab63e240b98be4038d9de002d4c0fffc312615c63e96b3d1248d4b54872dbcbdf9df170fcefb28c255b486,setup.py,<module>,1.0,suspicious
0d9e405223725f51ac39d0c2295fd299de71db7fdcefa9618cda158b37cea7023b046e31ac25d842c5a707c2a685f257e0bc3b1aa7613eb84f407d637d99282e,setup.py,<module>,1.0,suspicious
e3538b39c270085240191316a520cfc383b9677c80d1a430e996d9add864391cec8a31431c68948ac09d08360d96802df4d040fda2621184e465eb8d51416f67,setup.py,<module>,1.0,suspicious
03a9940a74f4324a133937c06aa87126dec9561fe91147df3f27163216b8874e1a512fd572a41ed481eebdcebd6700433f28ab0d096f4f30d89b012abd87e71f,setup.py,<module>,1.0,suspicious
d2ae2b648060ec0a5fb4826e33e27e4d349cff30d8e12cf2249439216be2b059bd5f16cde66df0bc864c9bc4a10777bfe0d13b5271cc756336518e14f3937623,setup.py,GruppeInstall,1.0,suspicious
004889045e4138182162ee24126f5d15f2ed530550e1b1c1fbf15a788709154b0d08bf325043a26b2f751a84debbf85d4faa3fdfeeb67ac5f4ca1ced56880875,setup.py,<module>,1.0,suspicious
217f9d04f68e075d1cba2b6f12ab2816edb9a8df15b5c7d4d38f9a09cd60a40d01d1aab412bcc3e6c7d32d733307a8182aa1fdbb0cabf3a4047132af7310b74a,setup.py,CustomInstall,1.0,suspicious
eb61458f7e8747f7db30c33f8c9b351c6c1f3888d715947594c2e7478ad6b9a104cfb11ec0abebec6829cb2f004cbfce84b8e34848f83caaa8e54ea23bd38c66,setup.py,<module>,1.0,suspicious
4fe704cd5e367888da01dd96dfe43e024340814ef1ee33f514e42699be4ef350c404d39d062177f6f8382f03c78d9a9be0381168f07057681cbb75466f64e157,setup.py,<module>,1.0,suspicious
f1de312aef8c64df8cf103855703e0faa9e6dd7201d005b92910c2cf55c7e7fda3319302ffa6e3db5bacdf550e2859027a437a6ff4454853ac151185000db9ff,setup.py,mJowwTqoErudaVwmWspimPYBAluUDzKFnJeJNqDsweftEtPzfwuSbeAwcAKhSjRqZUcWAznpthGjUlHUwABp,1.0,suspicious
21ef8ce6c8a13a4456b15499559d957fb9792d97b7232a048a8d988594fad34a40e98721a68d732d6a4e01ba0cc7100e123b9acec921f316f5f824976aa835c4,setup.py,<module>,1.0,suspicious
a485bbc6169a81f3c6a3d860bffef63b6885529d962777736ecc2e575cd47dc0d809cab14e394678e460843b6361f5e480ebd517f531bfb3b90145d7f1456dba,setup.py,<module>,1.0,suspicious
b334c34cd2c8a9d11b0a8f7e21f60a9121653b531072a31bf89a2576ec51edee561140486eaddda6606aaabe6be21a6fb80fb5bec5e8010ad0538bf50ded8b67,setup.py,<module>,1.0,suspicious
8c8d35051ae5e188cad1858a2ae1b5ad3cb046b40b298a5a22ae577c079dcca4f497fc30d627e8afe4b9336509d5d4a8d6e44136951aa0bd618b47d34a75a2c5,setup.py,<module>,1.0,suspicious
ea8636c1b34aa5e507c5b01ab71197b15926ddc7ec511b8ecdff30686224158e4a8fea8753530b8fcf53b16c7adcd3206ab0c7d28a47ecdf1ef0ab048e119509,setup.py,<module>,1.0,suspicious
497f0ae24af8e8dc7fb6ef11126cf8b54cc7b2154ab07f1ccb1052d7a6a127908fce44ea09035c10955371a1133d59db2449731998827af72357cd8fa7aed81c,setup.py,<module>,1.0,suspicious
220c3521f0d55cb86fc447fec6a310896f097f3b2908d79662be3375b2ebee9f5f0d30c7cc3c08d18478ab02ab7065e6f6564175c8179903c5e68383ca41021d,setup.py,<module>,1.0,suspicious
a6766aa780182ce5392767fb395c42b389d90fd46502b13313fc889aec5ac7791e4d89e2677116fac5aaa2c40039a350bd7ea931a4572273a436f730061266d8,setup.py,<module>,1.0,benign
e8fd5cb03f06df83d645114fbdac92e86de0219e46ac44b7608d790f146183c016555a41a420018bbfdde67c7927ec62347a1491873a03a99dc9c1ca16bd8611,setup.py,InstallCommand,1.0,suspicious
45b4597ffd4cfd4f5f1ef656c14b398fc841f3884e3f3e576a306ef4d616b2c1b775f894a7f54efcd38a6464aabee3c305e767c370ba27bed79b7b45b5ba7440,setup.py,<module>,1.0,suspicious
744edcce5353115adbb07738fa2ffd31831109afcdf17f6d685d06be045d9730c4e08e0ca54a0179a64667b98ee1e313c954d32361c511f5c0b78400c50efa4c,setup.py,<module>,1.0,suspicious
98abbd97ce8b95935bc3092eac2641e67c160095ae0320c69abcc6e6d378bb85368a227842c12f7e2252fa6b0d18dcd2add936578b0f1eed1bed2547a18c0610,setup.py,<module>,1.0,suspicious
cc0d5a3f79da7caa67b7bda3ec5758ff05a81baf58096722f565962dc3f317adc800459176af37ffb12eefc436e1cc9e2f695b70df40ee4a0c86a9a215e265e3,setup.py,<module>,1.0,suspicious
1ad32e7fab9c08f430a88688864283c871e1602cdc87cca194bbb67b1a1027c31b9b393d21ed4a27d0cfc81caf83e7f3105367f223e77141c92c0dd484a50f7c,setup.py,<module>,1.0,suspicious
7bd1fbef757d55417937e141a68075b3973f7ec8c574984f9688096d9c0cfda9361780f4d3a804fc604207ee1bff93403bc6e59adf388c5270d56e0393148cc9,setup.py,_post_install,0.999,suspicious
c29f129899f39f26847770ac5b74419fd00b4b051fb15f9ce4194a3472a45fd16e35b151536a329f59598f0c6e6bb0921ef19b7ffd915902cab5502c6e284499,setup.py,<module>,1.0,suspicious
41b209d8e18b2dbf92e00e2fd6b2551a8e0a1ab7bf211aac88c647bc2176eab980cb6b5c79a0a65a87a03c1f88abe0c2a36b983a87c268a10cc6beca94b6a802,setup.py,CustomInstall,1.0,suspicious
59264b813dd681bceff2bc3232c5866cfddbc9db86af3217ffe26f7f2c0cf76a57c14664b667fc8b1f947af6b2d2884d43719a3b08a1881fcbed190893c2fe58,setup.py,<module>,1.0,suspicious
